,capacity,status,efficiency,carrier2,emission_factor,fuel,VOM,availability,mustrun
0,13.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
1,9.8,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
2,138.9,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
3,16.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
4,18.3,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
5,17.7,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
6,16.5,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
7,20.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
8,18.1,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
9,18.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
10,13.2,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
11,8.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
12,22.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
13,52.0,operating,0.468,Bioenergy,0.0,9.0,2.1,0.9,0.0
14,10.6,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
15,12.6,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
16,12.4,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
17,12.1,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
18,20.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
19,20.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
20,14.5,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
21,78.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
22,17.1,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
23,15.13,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
24,22.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
25,20.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
26,18.1,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
27,9.8,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
28,17.9,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
29,40.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
30,15.6,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
31,20.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
32,12.3,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
33,15.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
34,13.9934,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
35,6.7,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
36,18.3,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
37,13.3,shutdown_temporary,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
38,1.92,operating,0.4504,Bioenergy,0.0,9.0,2.1,0.9,0.0
39,1.1,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
40,0.8,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
41,18.6,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
42,8.7,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
43,4.5,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
44,14.0,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
45,17.8,operating,0.38,Bioenergy,0.0,9.0,2.1,0.9,0.0
47,336.0,operating,0.44,Hard coal,0.354,8.73,2.9,0.8,0.3
48,433.0,operating,0.455,Hard coal,0.354,8.73,2.9,0.8,0.3
49,717.0,seasonal_conservation,0.3775,Hard coal,0.354,8.73,2.9,0.8,0.3
50,124.0,reserve,0.3475,Hard coal,0.354,8.73,2.9,0.8,0.3
51,89.0,operating,0.4,Hard coal,0.354,8.73,2.9,0.8,0.3
52,282.0,operating,0.3925,Hard coal,0.354,8.73,2.9,0.8,0.3
53,282.0,operating,0.395,Hard coal,0.354,8.73,2.9,0.8,0.3
54,726.0,operating,0.3825,Hard coal,0.354,8.73,2.9,0.8,0.3
55,43.3,operating,0.468,Hard coal,0.354,8.73,2.9,0.8,0.3
56,119.0,operating,0.3975,Hard coal,0.354,8.73,2.9,0.8,0.3
58,303.0,operating,0.3725,Hard coal,0.354,8.73,2.9,0.8,0.3
59,350.0,operating,0.4425,Hard coal,0.354,8.73,2.9,0.8,0.3
64,95.0,reserve,0.3875,Hard coal,0.354,8.73,2.9,0.8,0.3
67,370.0,operating,0.395,Hard coal,0.354,8.73,2.9,0.8,0.3
68,725.0,operating,0.4575,Hard coal,0.354,8.73,2.9,0.8,0.3
69,283.0,reserve,0.4525,Hard coal,0.354,8.73,2.9,0.8,0.3
70,106.0,reserve,0.3325,Hard coal,0.354,8.73,2.9,0.8,0.3
71,17.4,operating,0.38,Hard coal,0.354,8.73,2.9,0.8,0.3
72,31.0,operating,0.504,Hard coal,0.354,8.73,2.9,0.8,0.3
73,33.0,operating,0.4905,Hard coal,0.354,8.73,2.9,0.8,0.3
74,33.0,operating,0.4725,Hard coal,0.354,8.73,2.9,0.8,0.3
77,61.5,operating,0.395,Hard coal,0.354,8.73,2.9,0.8,0.3
78,61.5,operating,0.3975,Hard coal,0.354,8.73,2.9,0.8,0.3
79,345.0,operating,0.3475,Hard coal,0.354,8.73,2.9,0.8,0.3
80,345.0,operating,0.345,Hard coal,0.354,8.73,2.9,0.8,0.3
84,70.0,operating,0.3875,Hard coal,0.354,8.73,2.9,0.8,0.3
87,510.0,operating,0.405,Hard coal,0.354,8.73,2.9,0.8,0.3
88,194.0,operating,0.4075,Hard coal,0.354,8.73,2.9,0.8,0.3
89,123.0,operating,0.4075,Hard coal,0.354,8.73,2.9,0.8,0.3
90,137.0,operating,0.4075,Hard coal,0.354,8.73,2.9,0.8,0.3
93,763.7,operating,0.46,Hard coal,0.354,8.73,2.9,0.8,0.3
96,136.0,operating,0.3975,Hard coal,0.354,8.73,2.9,0.8,0.3
97,136.0,operating,0.3975,Hard coal,0.354,8.73,2.9,0.8,0.3
98,125.0,operating,0.45,Hard coal,0.354,8.73,2.9,0.8,0.3
99,125.0,operating,0.45,Hard coal,0.354,8.73,2.9,0.8,0.3
100,778.0,operating,0.4475,Hard coal,0.354,8.73,2.9,0.8,0.3
103,280.0,reserve,0.34,Hard coal,0.354,8.73,2.9,0.8,0.3
104,449.0,operating,0.4575,Hard coal,0.354,8.73,2.9,0.8,0.3
105,690.0,operating,0.4325,Hard coal,0.354,8.73,2.9,0.8,0.3
106,794.0,seasonal_conservation,0.4475,Hard coal,0.354,8.73,2.9,0.8,0.3
107,66.0,operating,0.3975,Hard coal,0.354,8.73,2.9,0.8,0.3
108,13.4,operating,0.415,Hard coal,0.354,8.73,2.9,0.8,0.3
109,517.0,operating,0.4375,Hard coal,0.354,8.73,2.9,0.8,0.3
110,834.0,operating,0.46,Hard coal,0.354,8.73,2.9,0.8,0.3
111,323.0,reserve,0.35,Hard coal,0.354,8.73,2.9,0.8,0.3
112,26.0,operating,0.3175,Hard coal,0.354,8.73,2.9,0.8,0.3
113,110.0,operating,0.3525,Hard coal,0.354,8.73,2.9,0.8,0.3
114,103.0,operating,0.33,Hard coal,0.354,8.73,2.9,0.8,0.3
115,149.0,reserve,0.33,Hard coal,0.354,8.73,2.9,0.8,0.3
116,324.0,reserve,0.35,Hard coal,0.354,8.73,2.9,0.8,0.3
119,255.0,operating,0.4375,Hard coal,0.354,8.73,2.9,0.8,0.3
120,425.0,operating,0.38,Hard coal,0.354,8.73,2.9,0.8,0.3
121,435.0,operating,0.4075,Hard coal,0.354,8.73,2.9,0.8,0.3
122,843.0,operating,0.4625,Hard coal,0.354,8.73,2.9,0.8,0.3
123,55.56,operating,0.4095,Hard coal,0.354,8.73,2.9,0.8,0.3
125,68.4,operating,0.4635,Hard coal,0.354,8.73,2.9,0.8,0.3
126,169.32,operating,0.4,Hard coal,0.354,8.73,2.9,0.8,0.3
127,54.0,operating,0.4,Hard coal,0.354,8.73,2.9,0.8,0.3
128,875.0,operating,0.3925,Hard coal,0.354,8.73,2.9,0.8,0.3
129,26.9,operating,0.4,Hard coal,0.354,8.73,2.9,0.8,0.3
132,655.6,operating,0.365,Hard coal,0.354,8.73,2.9,0.8,0.3
133,514.0,operating,0.41,Hard coal,0.354,8.73,2.9,0.8,0.3
134,50.0,seasonal_conservation,0.4375,Hard coal,0.354,8.73,2.9,0.8,0.3
135,24.79,operating,0.35,Hard coal,0.354,8.73,2.9,0.8,0.3
137,45.0,operating,0.38,Hard coal,0.354,8.73,2.9,0.8,0.3
138,45.0,operating,0.385,Hard coal,0.354,8.73,2.9,0.8,0.3
139,332.7,operating,0.4025,Hard coal,0.354,8.73,2.9,0.8,0.3
144,179.0,seasonal_conservation,0.38,Hard coal,0.354,8.73,2.9,0.8,0.3
145,211.0,operating,0.3975,Hard coal,0.354,8.73,2.9,0.8,0.3
146,96.0,operating,0.4525,Hard coal,0.354,8.73,2.9,0.8,0.3
147,148.0,operating,0.4525,Hard coal,0.354,8.73,2.9,0.8,0.3
149,310.0,reserve,0.38,Hard coal,0.354,8.73,2.9,0.8,0.3
150,614.0,reserve,0.385,Hard coal,0.354,8.73,2.9,0.8,0.3
151,757.0,operating,0.365,Hard coal,0.354,8.73,2.9,0.8,0.3
152,61.5,operating,0.425,Hard coal,0.354,8.73,2.9,0.8,0.3
153,61.5,operating,0.425,Hard coal,0.354,8.73,2.9,0.8,0.3
154,138.5,operating,0.3875,Hard coal,0.354,8.73,2.9,0.8,0.3
155,138.5,operating,0.3875,Hard coal,0.354,8.73,2.9,0.8,0.3
156,85.0,reserve,0.405,Hard coal,0.354,8.73,2.9,0.8,0.3
157,472.0,operating,0.4525,Hard coal,0.354,8.73,2.9,0.8,0.3
158,19.0,operating,0.4,Hard coal,0.354,8.73,2.9,0.8,0.3
159,20.7,operating,0.405,Hard coal,0.354,8.73,2.9,0.8,0.3
160,40.0,special_case,0.3375,Hard coal,0.354,8.73,2.9,0.8,0.3
161,735.0,operating,0.4575,Hard coal,0.354,8.73,2.9,0.8,0.3
162,800.0,operating,0.4625,Hard coal,0.354,8.73,2.9,0.8,0.3
163,800.0,operating,0.4625,Hard coal,0.354,8.73,2.9,0.8,0.3
164,731.0,operating,0.4625,Hard coal,0.354,8.73,2.9,0.8,0.3
165,79.5,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
166,24.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
167,0.1,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
169,84.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
170,36.8,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
171,360.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
172,23.7,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
173,45.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
174,145.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
175,480.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
176,20.0,operating,0.9,Hydro,0.0,0.0,0.0,1.0,0.0
177,72.5,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
178,138.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
179,22.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
180,43.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
181,25.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
182,119.1,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
185,164.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
186,1052.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
190,37.9,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
191,66.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
192,160.0,special_case,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
193,100.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
194,165.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
195,59.8,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
197,317.8,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
205,148.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
208,100.0,special_case,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
209,124.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
210,220.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
214,1045.2,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
220,90.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
221,20.2,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
222,26.1,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
223,20.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
224,39.8,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
226,48.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
227,60.0,special_case,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
232,53.7,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
233,86.4,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
234,19.4,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
235,25.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
237,19.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
238,46.7,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
239,35.1,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
240,45.5,operating,0.9,Hydro,0.0,0.0,0.0,1.0,0.0
241,38.2,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
242,30.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
243,24.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
244,79.8,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
247,25.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
249,23.2,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
250,21.5,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
251,28.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
252,3.3,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
253,1.8,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
254,85.3,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
255,99.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
257,48.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
258,44.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
271,23.3,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
272,150.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
273,25.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
274,24.1,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
275,910.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
276,79.7,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
278,20.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
279,220.0,operating,0.75,Hydro,0.0,0.0,0.0,1.0,0.0
280,9.9,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
281,15.0,operating,0.9,Hydro,0.0,0.0,0.0,1.0,0.0
282,10.3,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
283,11.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
284,15.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
285,26.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
286,16.4,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
287,9.7,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
288,18.4,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
289,17.8,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
290,12.1,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
291,14.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
292,16.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
293,10.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
294,19.8,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
295,16.7,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
296,14.5,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
297,16.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
298,10.1,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
299,10.1,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
300,19.2,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
301,11.3,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
302,12.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
303,22.3,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
304,16.4,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
305,16.4,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
306,16.2,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
307,14.8,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
308,27.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
309,11.9,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
310,12.6,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
311,12.6,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
312,12.1,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
313,10.9,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
314,18.9,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
315,12.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
316,12.2,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
317,12.3,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
318,10.5,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
319,16.6,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
320,11.2,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
321,12.3,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
322,18.0,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
323,18.8,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
324,12.8,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
325,12.6,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
326,13.6,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
327,18.95,operating,0.8,Hydro,0.0,0.0,0.0,1.0,0.0
332,875.0,operating,0.4,Lignite,0.334,3.2,2.9,0.85,0.3
333,875.0,operating,0.3976,Lignite,0.334,3.2,2.9,0.85,0.3
334,465.0,operating,0.3832,Lignite,0.334,3.2,2.9,0.85,0.3
335,465.0,operating,0.3856,Lignite,0.334,3.2,2.9,0.85,0.3
336,857.0,operating,0.4,Lignite,0.334,3.2,2.9,0.85,0.3
337,56.8,operating,0.3712,Lignite,0.334,3.2,2.9,0.85,0.3
338,90.8,operating,0.376,Lignite,0.334,3.2,2.9,0.85,0.3
339,74.0,operating,0.3976,Lignite,0.334,3.2,2.9,0.85,0.3
340,67.0,operating,0.3784,Lignite,0.334,3.2,2.9,0.85,0.3
341,176.0,operating,0.3712,Lignite,0.334,3.2,2.9,0.85,0.3
353,284.0,reserve,0.376,Lignite,0.334,3.2,2.9,0.85,0.3
354,278.0,reserve,0.376,Lignite,0.334,3.2,2.9,0.85,0.3
355,352.0,reserve,0.364,Lignite,0.334,3.2,2.9,0.85,0.3
356,40.0,shutdown_temporary,0.3808,Lignite,0.334,3.2,2.9,0.85,0.3
359,98.0,operating,0.3784,Lignite,0.334,3.2,2.9,0.85,0.3
360,33.5,operating,0.3736,Lignite,0.334,3.2,2.9,0.85,0.3
361,75.3,operating,0.424,Lignite,0.334,3.2,2.9,0.85,0.3
363,294.0,operating,0.3328,Lignite,0.334,3.2,2.9,0.85,0.3
364,294.0,operating,0.3328,Lignite,0.334,3.2,2.9,0.85,0.3
365,292.0,reserve,0.3352,Lignite,0.334,3.2,2.9,0.85,0.3
366,607.0,operating,0.34,Lignite,0.334,3.2,2.9,0.85,0.3
367,604.0,operating,0.3424,Lignite,0.334,3.2,2.9,0.85,0.3
368,297.0,operating,0.3232,Lignite,0.334,3.2,2.9,0.85,0.3
